week_ending,Financeiro_Faturamento_Total,Financeiro_Lucro,Financeiro_Pedidos_Guru,Financeiro_Pedidos_ML,Financeiro_Pedidos_Yampi,Financeiro_Gastos_Meta,Financeiro_Gastos_Google,Financeiro_Gastos_Mktp,Scripts_Scripts_Briefing_Feitos,Scripts_Scripts_Briefing_Escoados,Scripts_Materiais_Recebidos,Scripts_Materiais_Aguardando_Receber,Scripts_Pecas_Editadas_Jeff,Scripts_Pecas_Editadas_Natalia,Estatico_Estaticos_GG_Feitos,Estatico_Estaticos_Meta_Feitos,Estatico_Assets_Infra,Gravacao_Materias_Gravados,Gravacao_Materias_Editados,Trafego_Ads_Upados_Meta,Trafego_Ads_Upados_Google,Conteudo_Prospeccoes_Feitas
2025-08-14,125649.88,2625.05,43,52,355,48415.29,4025,1200,12,9,25,4,7,5,18,31,12,8,6,45,12,17
2025-08-21,132300.15,3120.00,41,50,458,50100.00,3900,1400,15,11,22,6,8,4,20,28,10,9,7,48,10,23
